Academic Units,Section Status,Section Listings,Course,Title,Meeting Patterns,Building/Room,Campus Locations,Instructor(s)/Teaching Assistant,Credit Hour,Enrollment Count,Section Capacity,Reserved Capacity,Reserved Seats,Waitlist Count,Academic Period,Start Date,End Date,Instructional Format,Delivery Mode,Public Notes,Clustered Course Sections,Academic Level,Grading Bases,Academic Period.1,Course Definition,Reference ID,Level,Program,Suffix
Systems Engineering Program,Open,SYS 581-A - Intro to Systems Engineering,SYS581-A,Intro to Systems Engineering,Monday | 3:00 PM - 5:30 PM,,,22,3,1,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,The course is required for the minor in Media Engineering. This course meets at the same time and location as SYS 581 A-U in GN 103. Graduate students only in this section.,,Graduate,Graded,2022 Spring Semester,SYS 581 - Intro. to Systems Engineering,COURSE_SECTION_DEFINITION-1-2022S_SYS_581_A,G-UG,SYS,A
Systems Engineering Program,Open,SYS 581-A-U - Intro. to Systems Engineering,SYS581-A-U,Introduction to Systems Engineering,Monday | 3:00 PM - 5:30 PM,Gateway North 103,Hoboken - Main Campus,22,3,49,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,Undergraduate students only in this section.,,Graduate,Graded,2022 Spring Semester,SYS 581 - Intro. to Systems Engineering,COURSE_SECTION_DEFINITION-1-2022S_SYS_581_A-U,UG,SYS,U
Systems Engineering Program,Open,SYS 605-ELA - Systems Integration,SYS605-ELA,Systems Integration,,,,25,3,15,30,0,,0,2022 Spring Semester,2/15/22,5/25/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 605 - Systems Integration,COURSE_SECTION_DEFINITION-1-2022S_SYS_605_ELA,CORP,SYS,ELA
Systems Engineering Program,Open,SYS 605-NBA - Systems Integration,SYS605-NBA,Systems Integration,,,,37,3,19,30,0,,0,2022 Spring Semester,4/15/22,7/23/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 605 - Systems Integration,COURSE_SECTION_DEFINITION-1-2022S_SYS_605_NBA-ZZZDNU,CORP,SYS,NBA
Systems Engineering Program,Open,SYS 605-WS - Systems Integration,SYS605-WS,Systems Integration,,WebCampus,WebCampus,37,3,21,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,SYS 605 - Systems Integration,COURSE_SECTION_DEFINITION-3-112600,G,SYS,WS
Systems Engineering Program,Open,SYS 611-A - Systems Modeling and Simulation,SYS611-A,Systems Modeling and Simulation,Thursday | 6:30 PM - 9:00 PM,Babbio 319,Hoboken - Main Campus,23,3,32,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 611 - Systems Modeling and Simulation,COURSE_SECTION_DEFINITION-1-2022S_SYS_611_A,G,SYS,A
Systems Engineering Program,Open,SYS 611-NVA - Systems Modeling and Simulation,SYS611-NVA,Systems Modeling and Simulation,,,,29,3,23,30,0,,0,2022 Spring Semester,1/29/22,5/1/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 611 - Systems Modeling and Simulation,COURSE_SECTION_DEFINITION-1-2022S_SYS_611_NVA,CORP,SYS,NVA
Systems Engineering Program,Open,SYS 611-RBA - Systems Modeling and Simulation,SYS611-RBA,Systems Modeling and Simulation,,,,29,3,17,30,0,,0,2022 Spring Semester,4/1/22,7/9/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 611 - Systems Modeling and Simulation,COURSE_SECTION_DEFINITION-1-2022S_SYS_611_RBA,G,SYS,RBA
Systems Engineering Program,Open,SYS 611-RMA - Systems Modeling and Simulation,SYS611-RMA,Systems Modeling and Simulation,,,,38,3,11,30,0,,0,2022 Spring Semester,1/21/22,4/30/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 611 - Systems Modeling and Simulation,COURSE_SECTION_DEFINITION-1-2022S_SYS_611_RMA,CORP,SYS,RMA
Systems Engineering Program,Open,SYS 611-WS - Systems Modeling and Simulation,SYS611-WS,Systems Modeling and Simulation,,WebCampus,WebCampus,29,3,26,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,SYS 611 - Systems Modeling and Simulation,COURSE_SECTION_DEFINITION-3-112627,G,SYS,WS
"Engineering Management Program

Systems Engineering Program",Open,"EM 623-A - Data Sci & Knowledge Discovery

SYS 623-A - Data Sci & Knowledge Discovery",EM623-A/SYS623-A,Data Science and Knowledge Discovery,Thursday | 6:30 PM - 9:00 PM,McLean 105,Hoboken - Main Campus,9,3,30,38,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,EM 623/ SYS 623 - Data Sci & Knowledge Discovery,COURSE_SECTION_DEFINITION-1-2022S_EM_623_A,G,EM,A
"Engineering Management Program

Systems Engineering Program",Open,"EM 624-WS - Informatics for EM

SYS 624-WS - Informatics for EM",EM624-WS/SYS624-WS,Informatics for Engineering Management,,,,77,3,28,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,EM 624/ SYS 624 - Data Exploration and Informatics for Engineering Management,COURSE_SECTION_DEFINITION-1-2022S_EM_624_WS,G,EM,WS
"Engineering Management Program

Systems Engineering Program",Open,"EM 624-WS1 - Informatics for EM

SYS 624-WS1 - Informatics for EM",EM624-WS1/SYS624-WS1,Informatics for Engineering Management,Tuesday | 7:00 PM - 8:50 PM,,,77,3,29,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,WebCampus Section.,,Graduate,Graded,2022 Spring Semester,EM 624/ SYS 624 - Data Exploration and Informatics for Engineering Management,COURSE_SECTION_DEFINITION-1-2022S_EM_624_WS1,G,EM,WS1
"Computer Engineering Program

Systems Engineering Program",Open,"CPE 625-B - Fundamentals of Systems Engr.

SYS 625-B - Fundamentals of Systems Engr.",CPE625-B/SYS625-B,Fundamentals of Systems Engineering,Monday | 6:30 PM - 9:00 PM,Babbio 319,Hoboken - Main Campus,5,3,12,20,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,CPE 625/ SYS 625 - Fundamentals of Systems Engr.,COURSE_SECTION_DEFINITION-1-2022S_CPE_625_B,G,SYS,B
"Computer Engineering Program

Systems Engineering Program",Closed,SYS 625-GIA - Fundamentals of Systems Engr.,SYS625-GIA,Fundamentals of Systems Engineering,,,,37,3,32,32,0,,0,2022 Spring Semester,2/15/22,6/14/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,CPE 625/ SYS 625 - Fundamentals of Systems Engr.,COURSE_SECTION_DEFINITION-3-112586,CORP,SYS,GIA
"Computer Engineering Program

Systems Engineering Program",Open,SYS 625-WS - Fundamentals of Systems Engr.,SYS625-WS,Fundamentals of Systems Engineering,,WebCampus,WebCampus,88,3,30,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,CPE 625/ SYS 625 - Fundamentals of Systems Engr.,COURSE_SECTION_DEFINITION-1-2022S_SYS_625_WS,G,SYS,WS
Systems Engineering Program,Open,SYS 635-WS - Human Spaceflight,SYS635-WS,Human Spaceflight,,WebCampus,WebCampus,13,3,15,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,WebCampus Section.,,Graduate,Graded,2022 Spring Semester,SYS 635 - Human Spaceflight,COURSE_SECTION_DEFINITION-1-2022S_SYS_635_WS,G,SYS,WS
Systems Engineering Program,Open,SYS 637-WS - Cost Eff. Space Mission Ops.,SYS637-WS,Cost-Effective Space Mission Operations,,,,13,3,19,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,SYS 637 - Cost Eff. Space Mission Ops.,COURSE_SECTION_DEFINITION-3-112588,G,SYS,WS
Systems Engineering Program,Open,SYS 640-WS - Sys Supportability & Logistics,SYS640-WS,Sys Supportability & Logistics,,WebCampus,WebCampus,11,3,15,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,WebCampus Section.,,Graduate,Graded,2022 Spring Semester,SYS 640 - System Supportability & Logistics,COURSE_SECTION_DEFINITION-1-2022S_SYS_640_WS,G,SYS,WS
Systems Engineering Program,Open,"SYS 645-LTA - Desgn for Rel, Maint. & Supp.",SYS645-LTA,"Design for Reliability, Maintainability, and Supportability",,,,38,3,28,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,"SYS 645 - Desgn for Rel, Maint. & Supp.",COURSE_SECTION_DEFINITION-1-2022S_SYS_645_LTA,CORP,SYS,LTA
Systems Engineering Program,Closed,"SYS 645-LTB - Desgn for Rel, Maint. & Supp.",SYS645-LTB,"Design for Reliability, Maintainability, and Supportability",,,,78,3,30,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,"SYS 645 - Desgn for Rel, Maint. & Supp.",COURSE_SECTION_DEFINITION-1-2022S_SYS_645_LTB,CORP,SYS,LTB
Systems Engineering Program,Open,"SYS 645-RMA - Desgn for Rel, Maint. & Supp.",SYS645-RMA,"Design for Reliability, Maintainability, and Supportability",,,,4,3,11,30,0,,0,2022 Spring Semester,4/1/22,7/9/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,"SYS 645 - Desgn for Rel, Maint. & Supp.",COURSE_SECTION_DEFINITION-1-2022S_SYS_645_RMA-ZZZDNU,CORP,SYS,RMA
Systems Engineering Program,Open,"SYS 645-WS - Desgn for Rel, Maint. & Supp.",SYS645-WS,"Desgn for Rel, Maint. & Supp.",,WebCampus,WebCampus,38,3,28,40,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,WebCampus Section.,,Graduate,Graded,2022 Spring Semester,"SYS 645 - Desgn for Rel, Maint. & Supp.",COURSE_SECTION_DEFINITION-1-2022S_SYS_645_WS,G,SYS,WS
Systems Engineering Program,Open,SYS 650--MEA - System Architecture & Design,SYS650--MEA,System Architecture and Design,,,,16,3,10,30,0,,0,2022 Spring Semester,2/4/22,5/14/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 650 - System Architecture & Design,COURSE_SECTION_DEFINITION-3-112598,CORP,SYS,MEA
Systems Engineering Program,Open,SYS 650-LTA - System Architecture & Design,SYS650-LTA,System Architecture and Design,,,,13,3,17,30,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,SYS 650 - System Architecture & Design,COURSE_SECTION_DEFINITION-1-2022S_SYS_650_LTA,CORP,SYS,LTA
Systems Engineering Program,Open,SYS 650-NBA - System Architecture & Design,SYS650-NBA,System Architecture and Design,,,,30,3,19,30,0,,0,2022 Spring Semester,2/4/22,5/14/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 650 - System Architecture & Design,COURSE_SECTION_DEFINITION-1-2022S_SYS_650_NBA-ZZZDNU,CORP,SYS,NBA
Systems Engineering Program,Open,SYS 650-WS - System Architecture & Design,SYS650-WS,System Architecture & Design,,WebCampus,WebCampus,5,3,25,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,WebCampus Section.,,Graduate,Graded,2022 Spring Semester,SYS 650 - System Architecture & Design,COURSE_SECTION_DEFINITION-1-2022S_SYS_650_WS,G,SYS,WS
Systems Engineering Program,Open,SYS 660-A - Decision and Risk Analysis,SYS660-A,Decision and Risk Analysis,Tuesday | 12:30 PM - 3:00 PM,Gateway North 103,Hoboken - Main Campus,40,3,40,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 660 - Decision and Risk Analysis,COURSE_SECTION_DEFINITION-1-2022S_SYS_660_A,G,SYS,A
Systems Engineering Program,Open,SYS 660-RMA - Decision and Risk Analysis,SYS660-RMA,Decision and Risk Analysis,,,,6,3,12,30,0,,0,2022 Spring Semester,2/4/22,5/14/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 660 - Decision and Risk Analysis,COURSE_SECTION_DEFINITION-1-2022S_SYS_660_RMA-ZZZDNU,CORP,SYS,RMA
Systems Engineering Program,Open,SYS 681-A - Dynamic Modeling of Sys & Ent,SYS681-A,Dynamic Modeling of Sys & Ent,Monday | 12:00 PM - 2:30 PM,Babbio 210,Hoboken - Main Campus,71,3,28,32,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 681 - Dynamic Modeling of Sys & Ent,COURSE_SECTION_DEFINITION-1-2022S_SYS_681_A,G,SYS,A
Systems Engineering Program,Open,SYS 684-NBA - Systems Thinking,SYS684-NBA,Systems Thinking,,,,20,3,8,30,0,,0,2022 Spring Semester,1/21/22,4/30/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 684 - Systems Thinking,COURSE_SECTION_DEFINITION-1-2022S_SYS_684_NBA,CORP,SYS,NBA
Systems Engineering Program,Open,SYS 684-RBA - Systems Thinking,SYS684-RBA,Systems Thinking,,,,29,3,18,30,0,,0,2022 Spring Semester,1/21/22,4/30/22,Lecture,In-Person,,,Graduate,Graded,2022 Spring Semester,SYS 684 - Systems Thinking,COURSE_SECTION_DEFINITION-1-2022S_SYS_684_RBA,G,SYS,RBA
Systems Engineering Program,Open,SYS 710-NBA - Research Methodologies,SYS710-NBA,Research Methodologies,,,,20,3,8,30,0,,0,2022 Spring Semester,4/1/22,7/23/22,Lecture,Online,,,Graduate,Graded,2022 Spring Semester,SYS 710 - Research Methodologies,COURSE_SECTION_DEFINITION-3-116565,CORP,SYS,NBA
Systems Engineering Program,Open,SYS 710-WS - Research Methodologies,SYS710-WS,Research Methodologies,,WebCampus,WebCampus,20,3,12,50,0,,0,2022 Spring Semester,1/18/22,5/18/22,Lecture,Online,WebCampus Section.,,Graduate,Graded,2022 Spring Semester,SYS 710 - Research Methodologies,COURSE_SECTION_DEFINITION-1-2022S_SYS_710_WS,G,SYS,WS
